CustomerID,Description,Merchant,Frequency,Occurrences,First_Date,Last_Date,Avg_Amount,Std_Amount,Median_Gap_Days,Failed_Count
CUST100000,NETFLIX.COM MONTHLY SUBSCRIPTION,Netflix,Monthly,18,2023-01-14,2024-06-14,645.62,15.62,31.0,0
CUST100001,AMAZON PRIME SUBSCRIPTION,Amazon,Monthly,18,2023-01-22,2024-06-22,299.62,7.46,31.0,0
CUST100001,COURSERA PLUS MONTHLY,Coursera,Monthly,18,2023-01-18,2024-06-18,3987.15,103.2,31.0,2
CUST100002,GOOGLE ONE STORAGE PLAN,Google,Monthly,17,2023-01-04,2024-06-04,129.59,3.09,31.0,1
CUST100002,GYM LOCKER WEEKLY,AnytimeFitness,Weekly,77,2023-01-02,2024-06-24,249.16,5.6,7.0,4
CUST100003,DROPBOX PLUS PLAN,Dropbox,Monthly,18,2023-01-20,2024-06-20,906.95,17.31,31.0,0
CUST100003,GYM LOCKER WEEKLY,AnytimeFitness,Weekly,74,2023-01-25,2024-06-26,247.83,5.58,7.0,4
CUST100004,ADOBE CREATIVE CLOUD,Adobe,Monthly,18,2023-01-08,2024-06-08,1669.2,42.07,31.0,2
CUST100004,COURSERA PLUS MONTHLY,Coursera,Monthly,18,2023-01-15,2024-06-15,4024.59,112.3,31.0,1
CUST100004,DROPBOX PLUS PLAN,Dropbox,Monthly,18,2023-01-08,2024-06-08,895.55,24.38,31.0,2
CUST100004,NEWSPAPER DIGITAL WEEKLY,TimesOfIndia,Weekly,76,2023-01-18,2024-06-26,49.28,1.17,7.0,5
CUST100005,APPLE ICLOUD STORAGE,Apple,Monthly,18,2023-01-28,2024-06-28,74.74,1.79,31.0,6
CUST100005,DROPBOX PLUS PLAN,Dropbox,Monthly,18,2023-01-08,2024-06-08,883.55,17.39,31.0,2
CUST100006,AMAZON PRIME SUBSCRIPTION,Amazon,Monthly,18,2023-01-02,2024-06-02,296.3,6.16,31.0,0
CUST100006,COURSERA PLUS MONTHLY,Coursera,Monthly,18,2023-01-14,2024-06-14,3989.0,75.11,31.0,0
CUST100006,GOOGLE ONE STORAGE PLAN,Google,Monthly,18,2023-01-22,2024-06-22,130.84,3.04,31.0,0
CUST100006,NEWSPAPER DIGITAL WEEKLY,TimesOfIndia,Weekly,75,2023-01-28,2024-06-29,49.18,1.12,7.0,9
CUST100007,APPLE ICLOUD STORAGE,Apple,Monthly,18,2023-01-26,2024-06-26,74.43,1.93,31.0,3
CUST100007,SPOTIFY PREMIUM MONTHLY,Spotify,Monthly,18,2023-01-27,2024-06-27,118.4,2.62,31.0,1
CUST100008,APPLE ICLOUD STORAGE,Apple,Monthly,18,2023-01-05,2024-06-05,74.69,1.35,31.0,3
CUST100008,NETFLIX.COM MONTHLY SUBSCRIPTION,Netflix,Monthly,18,2023-01-16,2024-06-16,647.0,15.87,31.0,0
CUST100008,NEWSPAPER DIGITAL WEEKLY,TimesOfIndia,Weekly,76,2023-01-11,2024-06-26,49.21,1.2,7.0,5
CUST100008,ZOOM PRO MONTHLY,Zoom,Monthly,18,2023-01-03,2024-06-03,1292.29,29.5,31.0,1
CUST100009,ADOBE CREATIVE CLOUD,Adobe,Monthly,18,2023-01-10,2024-06-10,1683.48,42.31,31.0,2
CUST100009,COURSERA PLUS MONTHLY,Coursera,Monthly,18,2023-01-23,2024-06-23,4004.82,96.73,31.0,0
